,age,job,marital,education,smoker,monthlyincome,houseowner,loan,contact,mod_,monthlyhouseholdincome,target_buy
125,34,self-employed,single,Graduate,no,5462.0,no,no,cellphone,1877.0,5754.0,yes
126,24,unemployed,single,secondary,no,5119.0,no,no,unknown,51.0,5973.0,no
127,45,technician,single,secondary,no,5586.0,no,yes,cellphone,32.0,6183.0,no
128,32,blue-collar,single,secondary,no,5228.0,no,no,telephone,176.0,5406.0,no
129,77,retired,divorced,Graduate,no,9659.0,no,no,cellphone,161.0,9750.0,yes
130,41,blue-collar,married,primary,no,5168.0,yes,no,cellphone,187.0,5871.0,no
131,37,blue-collar,married,primary,no,5000.0,yes,no,unknown,24.0,5074.0,no
132,43,blue-collar,married,unknown,yes,4285.0,yes,no,unknown,67.0,5070.0,no
133,48,admin.,married,unknown,no,5000.0,yes,no,cellphone,85.0,5806.0,no
134,27,technician,single,secondary,no,5769.0,yes,no,unknown,317.0,6719.0,no
135,33,management,single,Graduate,no,5000.0,no,no,cellphone,236.0,5405.0,no
136,29,admin.,single,secondary,no,5428.0,yes,yes,cellphone,54.0,5554.0,no
137,34,management,single,Graduate,no,5000.0,no,no,cellphone,71.0,5776.0,no
138,52,management,married,Graduate,no,4030.0,yes,no,cellphone,489.0,4606.0,yes
139,60,management,married,unknown,no,11313.0,no,no,unknown,39.0,11550.0,no
140,32,management,divorced,Graduate,no,5948.0,no,no,cellphone,204.0,6237.0,no
141,32,management,single,Graduate,no,5000.0,yes,no,cellphone,455.0,5543.0,no
142,56,services,divorced,unknown,no,6877.0,yes,no,unknown,86.0,7466.0,no
143,31,management,single,Graduate,no,5874.0,yes,no,cellphone,190.0,5910.0,no
144,42,admin.,married,secondary,no,5323.0,yes,yes,unknown,280.0,5684.0,no
145,35,management,married,Graduate,no,5106.0,no,yes,cellphone,588.0,5362.0,no
146,56,retired,married,primary,no,6906.0,no,yes,unknown,45.0,7828.0,no
147,48,technician,married,secondary,no,6152.0,yes,no,cellphone,168.0,6159.0,no
148,46,admin.,married,secondary,no,5179.0,yes,no,cellphone,194.0,5254.0,no
149,37,technician,single,unknown,no,5391.0,yes,no,unknown,103.0,5828.0,no
150,41,entrepreneur,married,unknown,no,5089.0,yes,no,unknown,333.0,5788.0,no
151,36,management,single,Graduate,no,5442.0,yes,yes,cellphone,102.0,5732.0,no
152,45,unemployed,divorced,primary,yes,4751.0,yes,yes,unknown,92.0,5518.0,no
153,55,entrepreneur,married,secondary,no,13104.0,no,no,cellphone,213.0,13806.0,no
154,39,technician,married,secondary,no,5501.0,no,no,unknown,289.0,6403.0,no
155,35,technician,divorced,secondary,no,5308.0,no,no,cellphone,77.0,5647.0,no
156,55,admin.,married,secondary,no,5602.0,no,no,cellphone,324.0,6470.0,yes
157,55,technician,married,secondary,no,5273.0,yes,no,cellphone,84.0,6199.0,no
158,27,self-employed,single,secondary,no,5050.0,no,no,cellphone,168.0,5719.0,no
159,34,technician,married,secondary,no,6641.0,yes,no,cellphone,380.0,7214.0,no
160,34,blue-collar,married,Graduate,no,5020.0,no,no,unknown,10.0,5244.0,no
161,25,admin.,single,secondary,no,9590.0,yes,no,unknown,199.0,10566.0,no
162,41,admin.,single,secondary,no,4744.0,no,yes,unknown,35.0,5104.0,no
163,43,services,married,secondary,no,5978.0,yes,yes,unknown,82.0,6357.0,no
164,28,management,single,Graduate,no,5080.0,no,no,cellphone,676.0,5393.0,yes
165,31,admin.,single,secondary,no,7104.0,yes,no,unknown,455.0,7122.0,no
166,78,housemaid,married,secondary,no,5499.0,no,no,telephone,80.0,5593.0,no
167,45,blue-collar,divorced,secondary,no,6269.0,yes,no,cellphone,549.0,6682.0,no
168,48,technician,married,Graduate,no,5310.0,no,no,unknown,135.0,5629.0,no
169,32,blue-collar,single,secondary,no,6143.0,yes,yes,cellphone,412.0,6483.0,no
170,42,technician,married,secondary,no,7980.0,no,no,unknown,101.0,8631.0,no
171,37,management,single,Graduate,no,5037.0,no,no,cellphone,253.0,5978.0,no
172,40,admin.,single,secondary,no,5462.0,yes,yes,cellphone,272.0,5498.0,no
173,32,admin.,married,secondary,no,6031.0,yes,no,cellphone,84.0,6950.0,no
174,42,management,married,Graduate,no,14009.0,no,no,cellphone,135.0,14143.0,no
175,43,admin.,married,secondary,no,4535.0,yes,yes,cellphone,166.0,4556.0,no
176,44,admin.,married,secondary,no,10181.0,yes,yes,cellphone,18.0,11085.0,no
177,37,admin.,married,secondary,no,5176.0,yes,no,cellphone,147.0,5352.0,no
178,37,unknown,married,unknown,no,6699.0,no,no,unknown,63.0,7472.0,no
179,37,admin.,married,Graduate,no,5000.0,yes,no,cellphone,65.0,5203.0,no
180,28,technician,single,Graduate,no,5172.0,yes,yes,cellphone,194.0,5219.0,no
181,32,services,single,secondary,no,5000.0,no,yes,cellphone,333.0,5812.0,no
182,34,admin.,single,secondary,no,11979.0,yes,no,cellphone,14.0,12681.0,no
183,40,admin.,divorced,secondary,no,5006.0,no,no,unknown,140.0,5927.0,no
184,34,services,married,secondary,no,4938.0,yes,no,unknown,109.0,5540.0,no
185,34,self-employed,married,Graduate,no,6972.0,yes,no,cellphone,61.0,7620.0,no
186,34,admin.,married,Graduate,no,5899.0,yes,no,telephone,377.0,6523.0,no
187,37,services,single,secondary,no,5021.0,yes,no,cellphone,96.0,5824.0,no
188,36,technician,married,secondary,no,5023.0,yes,no,cellphone,152.0,5326.0,no
189,56,retired,married,secondary,no,3794.0,yes,no,cellphone,382.0,4097.0,yes
190,49,blue-collar,married,primary,no,5000.0,yes,yes,telephone,97.0,5611.0,no
191,33,self-employed,married,secondary,no,5215.0,yes,no,cellphone,543.0,6109.0,no
192,30,management,single,Graduate,no,6372.0,no,no,cellphone,240.0,6742.0,no
193,36,services,married,secondary,no,6981.0,no,no,unknown,48.0,7362.0,no
194,23,student,single,secondary,no,14216.0,no,no,cellphone,471.0,14573.0,no
195,57,retired,divorced,secondary,no,5039.0,yes,no,cellphone,354.0,6007.0,no
196,27,blue-collar,single,secondary,no,10563.0,yes,no,unknown,435.0,11061.0,no
197,38,services,married,secondary,no,5001.0,no,yes,cellphone,152.0,5708.0,no
198,42,technician,married,Graduate,no,5782.0,no,no,cellphone,285.0,6072.0,no
199,75,retired,married,secondary,no,8771.0,no,no,telephone,185.0,9027.0,yes
200,34,technician,single,Graduate,no,5992.0,yes,no,cellphone,301.0,6145.0,no
201,48,technician,married,secondary,no,6526.0,no,no,cellphone,273.0,7481.0,no
202,35,technician,single,Graduate,no,7658.0,yes,no,cellphone,768.0,8061.0,yes
203,39,management,divorced,Graduate,no,6315.0,yes,no,cellphone,1337.0,6529.0,no
204,29,blue-collar,single,Graduate,no,5455.0,no,no,telephone,403.0,5528.0,yes
205,45,technician,single,Graduate,no,5000.0,yes,no,cellphone,139.0,5592.0,no
206,42,technician,married,secondary,no,7030.0,yes,yes,cellphone,196.0,7855.0,no
207,29,technician,married,secondary,no,6599.0,yes,no,cellphone,115.0,6619.0,no
208,38,services,single,secondary,no,4804.0,yes,no,cellphone,60.0,5304.0,no
209,56,retired,married,secondary,no,6333.0,no,no,cellphone,17.0,7133.0,no
210,36,technician,single,secondary,no,14149.0,yes,no,cellphone,141.0,14531.0,no
211,25,blue-collar,single,secondary,no,4650.0,yes,no,unknown,95.0,4831.0,no
212,38,technician,married,Graduate,no,5432.0,yes,no,cellphone,10.0,5961.0,no
213,57,self-employed,married,secondary,no,16494.0,no,no,cellphone,198.0,17298.0,no
214,31,management,married,Graduate,yes,4747.0,no,no,cellphone,220.0,5315.0,no
215,42,management,married,Graduate,no,5372.0,yes,no,cellphone,654.0,6050.0,yes
216,45,technician,married,secondary,no,6410.0,no,no,cellphone,71.0,7145.0,no
217,30,blue-collar,married,secondary,no,5975.0,yes,no,cellphone,256.0,6706.0,no
218,49,blue-collar,married,primary,no,5305.0,yes,yes,telephone,834.0,5476.0,no
219,49,services,married,secondary,no,5400.0,no,no,cellphone,151.0,6285.0,no
220,53,retired,married,Graduate,no,4978.0,yes,no,cellphone,20.0,5274.0,no
221,37,technician,married,secondary,no,9030.0,yes,no,unknown,178.0,9120.0,no
222,49,blue-collar,married,primary,no,5365.0,no,no,unknown,59.0,6365.0,no
223,41,self-employed,married,primary,no,5204.0,no,no,cellphone,111.0,5234.0,no
224,54,management,married,primary,no,6691.0,yes,no,cellphone,186.0,7064.0,no
225,32,services,single,secondary,no,5406.0,yes,no,unknown,227.0,5844.0,no
226,33,technician,married,secondary,no,4796.0,no,no,cellphone,297.0,4847.0,no
227,33,technician,married,secondary,no,5359.0,yes,no,cellphone,210.0,5701.0,no
228,36,blue-collar,married,primary,no,5123.0,yes,no,cellphone,9.0,5505.0,no
229,35,technician,married,Graduate,no,5000.0,yes,yes,cellphone,112.0,5693.0,no
230,52,unknown,married,secondary,no,5142.0,no,no,cellphone,112.0,5454.0,no
231,40,entrepreneur,married,Graduate,no,8571.0,no,no,unknown,222.0,8956.0,no
232,44,technician,single,secondary,no,5033.0,yes,no,cellphone,195.0,5833.0,no
233,45,blue-collar,single,secondary,no,5000.0,yes,no,cellphone,768.0,5636.0,no
234,30,student,single,secondary,no,8096.0,no,no,cellphone,123.0,8362.0,no
235,48,technician,divorced,secondary,yes,5020.0,no,no,cellphone,145.0,5749.0,no
236,33,blue-collar,married,secondary,no,8576.0,yes,no,cellphone,124.0,8664.0,no
237,57,technician,married,unknown,no,5206.0,yes,no,unknown,216.0,5325.0,no
238,57,housemaid,married,primary,no,12082.0,no,no,unknown,69.0,12123.0,no
239,51,unemployed,married,Graduate,no,6634.0,yes,no,cellphone,168.0,7395.0,no
240,34,admin.,single,secondary,no,5001.0,yes,no,cellphone,483.0,5229.0,no
241,50,self-employed,married,Graduate,no,9012.0,no,no,cellphone,690.0,9061.0,no
242,44,management,married,Graduate,no,8762.0,no,no,cellphone,125.0,9112.0,no
243,27,admin.,married,secondary,no,4753.0,yes,yes,unknown,344.0,5587.0,no
244,50,blue-collar,married,secondary,no,5606.0,yes,no,unknown,673.0,6179.0,no
245,36,management,married,Graduate,no,5000.0,yes,no,cellphone,60.0,5504.0,no
246,42,management,married,secondary,no,4811.0,yes,no,unknown,247.0,5295.0,no
247,32,unemployed,single,secondary,no,5000.0,no,no,cellphone,123.0,5955.0,no
248,42,management,married,Graduate,no,5484.0,yes,no,cellphone,144.0,6440.0,no
249,43,technician,married,secondary,no,5000.0,no,yes,cellphone,9.0,5892.0,no
250,31,management,married,Graduate,no,5395.0,yes,no,cellphone,155.0,5512.0,no
251,32,management,married,Graduate,no,7349.0,no,no,cellphone,134.0,7376.0,no
252,55,blue-collar,divorced,primary,no,5410.0,no,yes,cellphone,221.0,5649.0,no
253,58,retired,married,primary,no,8401.0,yes,no,cellphone,84.0,8479.0,no
254,46,blue-collar,married,primary,no,5222.0,no,no,cellphone,71.0,6117.0,no
255,55,blue-collar,married,secondary,no,5989.0,yes,yes,unknown,246.0,6476.0,no
256,34,management,married,Graduate,no,5415.0,no,yes,cellphone,361.0,5750.0,no
257,28,unemployed,single,secondary,no,5016.0,no,no,cellphone,119.0,5563.0,no
258,42,technician,divorced,Graduate,no,12190.0,yes,no,cellphone,375.0,12737.0,no
259,29,blue-collar,single,secondary,no,5482.0,no,yes,cellphone,1097.0,6422.0,yes
260,54,housemaid,married,secondary,no,5209.0,yes,yes,cellphone,97.0,5940.0,no
261,32,technician,single,secondary,no,5000.0,no,no,cellphone,181.0,5271.0,no
262,39,technician,single,Graduate,no,10803.0,no,no,cellphone,83.0,11462.0,no
263,53,entrepreneur,married,Graduate,no,5624.0,no,yes,cellphone,180.0,6048.0,no
264,58,technician,married,Graduate,no,5883.0,no,no,cellphone,543.0,6023.0,no
265,40,self-employed,married,secondary,no,6516.0,yes,yes,unknown,373.0,7435.0,no
266,29,student,single,secondary,no,5872.0,yes,no,unknown,230.0,6824.0,no
267,33,technician,married,Graduate,no,4012.0,yes,yes,cellphone,83.0,4471.0,no
268,38,admin.,single,secondary,no,5902.0,yes,no,telephone,58.0,6273.0,no
269,56,services,divorced,secondary,no,6007.0,no,no,cellphone,88.0,6820.0,no
270,40,services,married,secondary,no,5000.0,yes,no,cellphone,297.0,5091.0,no
271,24,blue-collar,single,secondary,no,5174.0,yes,yes,cellphone,487.0,5611.0,yes
272,46,management,married,secondary,no,17186.0,no,no,unknown,29.0,17598.0,no
273,35,self-employed,married,secondary,no,5524.0,yes,no,cellphone,484.0,6072.0,no
274,35,blue-collar,single,Graduate,no,5000.0,yes,no,cellphone,262.0,5821.0,no
275,34,technician,married,secondary,no,5004.0,yes,no,unknown,644.0,5487.0,no
276,35,housemaid,married,Graduate,no,16219.0,no,no,cellphone,699.0,17013.0,no
277,38,technician,single,Graduate,no,5000.0,no,no,cellphone,247.0,5706.0,no
278,50,blue-collar,married,primary,no,10776.0,no,no,cellphone,49.0,11572.0,no
279,51,blue-collar,divorced,primary,no,5037.0,yes,no,cellphone,341.0,5426.0,no
280,59,self-employed,married,Graduate,no,5593.0,no,no,unknown,64.0,5657.0,no
281,32,blue-collar,married,secondary,no,6148.0,yes,no,cellphone,121.0,7046.0,no
282,37,blue-collar,single,secondary,no,8561.0,yes,no,unknown,98.0,9390.0,no
283,42,admin.,divorced,secondary,no,5063.0,no,no,unknown,88.0,5313.0,no
284,40,student,married,secondary,no,5260.0,no,no,unknown,197.0,5668.0,no
285,28,technician,single,Graduate,no,7269.0,yes,no,unknown,331.0,8019.0,no
286,47,admin.,married,secondary,no,6060.0,yes,no,unknown,83.0,6139.0,no
287,27,self-employed,married,secondary,no,4780.0,yes,no,unknown,138.0,5753.0,no
288,41,management,married,Graduate,no,5049.0,yes,no,cellphone,312.0,5725.0,no
289,34,admin.,married,Graduate,no,5069.0,no,yes,cellphone,120.0,5650.0,yes
290,50,blue-collar,married,primary,no,9108.0,yes,no,cellphone,526.0,9528.0,yes
291,47,blue-collar,married,secondary,no,5480.0,yes,no,unknown,211.0,5986.0,no
292,53,services,married,secondary,no,9994.0,no,no,cellphone,62.0,10295.0,no
293,53,technician,divorced,secondary,no,5000.0,yes,yes,cellphone,135.0,5726.0,no
294,47,management,married,Graduate,no,8681.0,no,no,cellphone,101.0,9540.0,no
295,49,entrepreneur,divorced,unknown,yes,4299.0,yes,no,cellphone,988.0,5179.0,yes
296,29,management,married,Graduate,no,5451.0,no,no,cellphone,451.0,5979.0,no
297,45,blue-collar,divorced,primary,no,4689.0,yes,no,unknown,1030.0,4862.0,yes
298,38,entrepreneur,married,secondary,no,5593.0,yes,yes,cellphone,1484.0,5764.0,yes
299,32,blue-collar,married,secondary,no,5759.0,yes,no,cellphone,317.0,6460.0,yes
300,70,retired,divorced,primary,no,9531.0,no,no,cellphone,445.0,9962.0,no
301,65,retired,divorced,primary,no,6840.0,no,no,cellphone,383.0,7530.0,no
302,56,blue-collar,married,secondary,no,5345.0,yes,no,telephone,605.0,5565.0,no
303,35,blue-collar,married,secondary,no,6287.0,yes,no,cellphone,330.0,6460.0,no
304,56,management,married,unknown,no,5353.0,no,yes,cellphone,171.0,5965.0,no
305,56,technician,married,secondary,no,5205.0,no,yes,cellphone,442.0,5594.0,no
306,49,entrepreneur,married,secondary,no,5687.0,yes,no,cellphone,772.0,6130.0,yes
307,38,unemployed,married,primary,no,6147.0,yes,yes,unknown,249.0,6483.0,no
308,35,management,married,Graduate,no,9286.0,yes,no,unknown,357.0,9386.0,no
309,38,admin.,married,Graduate,no,5605.0,no,no,cellphone,147.0,6233.0,no
310,49,blue-collar,married,secondary,no,13545.0,yes,yes,cellphone,199.0,14263.0,no
311,55,management,married,unknown,no,5559.0,no,no,cellphone,271.0,6518.0,no
312,43,blue-collar,single,primary,no,5002.0,yes,no,cellphone,783.0,5858.0,no
313,43,management,married,Graduate,no,5002.0,no,yes,cellphone,472.0,5558.0,no
314,25,admin.,single,Graduate,no,5760.0,yes,no,cellphone,223.0,6500.0,yes
315,30,blue-collar,married,primary,no,6317.0,yes,no,unknown,395.0,6999.0,no
316,46,blue-collar,married,secondary,no,5182.0,no,no,cellphone,56.0,6059.0,no
317,50,admin.,married,primary,no,5276.0,no,yes,unknown,641.0,5893.0,no
318,35,entrepreneur,married,secondary,no,7971.0,no,no,cellphone,429.0,8002.0,yes
319,26,unemployed,single,secondary,no,6064.0,no,no,unknown,113.0,6920.0,no
320,45,admin.,married,unknown,no,6783.0,no,no,unknown,11.0,7127.0,no
321,37,blue-collar,married,secondary,no,4933.0,no,no,cellphone,157.0,5099.0,no
322,60,self-employed,single,Graduate,no,5179.0,no,yes,cellphone,79.0,5414.0,no
323,38,management,married,Graduate,no,6199.0,no,no,cellphone,178.0,6597.0,yes
324,47,blue-collar,married,primary,no,5214.0,yes,yes,unknown,168.0,5784.0,no
325,33,technician,married,secondary,no,11699.0,no,no,cellphone,425.0,12492.0,no
326,51,unemployed,married,secondary,no,6760.0,no,yes,cellphone,162.0,7307.0,no
327,35,entrepreneur,single,Graduate,no,5145.0,yes,no,cellphone,799.0,5592.0,yes
328,35,unemployed,married,secondary,no,5978.0,no,no,cellphone,1370.0,6194.0,yes
329,48,admin.,single,secondary,no,6150.0,yes,no,unknown,357.0,6489.0,no
330,37,admin.,married,secondary,no,5121.0,no,no,cellphone,22.0,5853.0,no
331,29,technician,single,Graduate,no,5828.0,yes,no,cellphone,215.0,6498.0,no
